"q","YER","HICP","URX"
"1970Q1",1104407.16347111,14.2741514910534,1.62209371662971
"1970Q2",1125635.97627106,14.4348990267477,1.57172098878276
"1970Q3",1139197.15066463,14.5689723518167,1.6235715747
"1970Q4",1152997.18411351,14.7526187675549,1.60965969456591
"1971Q1",1150981.18080023,15.0228501739585,1.63619315320162
"1971Q2",1165725.43434396,15.2762356097409,1.71281264037697
"1971Q3",1183905.9782433,15.4560647156635,1.71466922214541
"1971Q4",1193322.42431678,15.6903650225574,1.84726398937471
"1972Q1",1211005.22977198,15.9556591847864,1.96326083718767
"1972Q2",1219159.47442028,16.1835529572171,1.99246073349772
"1972Q3",1235829.87973257,16.4709804034698,2.04225934056553
"1972Q4",1253920.27550186,16.8097967419599,2.00299804208003
"1973Q1",1278061.2862547,17.1633422768299,1.92693224874505
"1973Q2",1293557.71565839,17.5793351640205,2.14338692444737
"1973Q3",1311321.48870937,17.9363408250054,1.93348228077876
"1973Q4",1325649.11832137,18.4082308018965,1.96208484387924
"1974Q1",1338774.16125866,19.0373512654648,2.00914273349536
"1974Q2",1341196.63328121,19.6772534073597,2.04139934580993
"1974Q3",1350333.41823352,20.2536074739301,2.19574746166943
"1974Q4",1328816.92995454,20.907105358639,2.65345614840762
"1975Q1",1316414.78718276,21.240893378589,2.97495604724913
"1975Q2",1323211.73787573,21.7627470708626,3.32725347661196
"1975Q3",1335031.80192639,22.1400687919779,3.37875762990092
"1975Q4",1349138.9005669,22.5530078304618,3.65732247626858
"1976Q1",1371166.69110846,23.1584204149827,3.67518232656909
"1976Q2",1388800.17003784,23.8493841491903,3.71240309767083
"1976Q3",1400491.24741417,24.2399707559585,3.69174011427238
"1976Q4",1422985.35040005,24.8934373338543,3.83637697457358
"1977Q1",1428851.40239115,25.5651715019897,3.88156497396115
"1977Q2",1430776.59849403,26.2182965495913,4.04119066800172
"1977Q3",1431900.95851327,26.7495921262663,4.20237458670503
"1977Q4",1449028.41624198,27.1945474753447,4.21905926902798
"1978Q1",1458346.10649523,27.6773500492509,4.22376984490857
"1978Q2",1474985.79446938,28.2608862089872,4.34231964740269
"1978Q3",1481893.80628584,28.7129183457847,4.44235882621357
"1978Q4",1499541.79044264,29.1481585873654,4.5026089074543
"1979Q1",1507200.74897727,29.8250840128406,4.49504609128963
"1979Q2",1531345.77631706,30.5062543725176,4.63684412293321
"1979Q3",1539157.6255816,31.2370775136454,4.75717550525391
"1979Q4",1553776.89195232,32.0243562882603,4.68273045539428
"1980Q1",1568441.71125847,33.126531488387,4.72846946629692
"1980Q2",1561076.99260503,33.9861612762851,4.88193262114232
"1980Q3",1560187.10237422,34.7675671567206,5.11845191536996
"1980Q4",1560919.96735144,35.6213012811361,5.27513251940476
"1981Q1",1562426.06430597,36.7848195533427,5.48385312278907
"1981Q2",1567106.39140323,37.7682390523431,5.93230324794539
"1981Q3",1571430.01471549,38.7244720459889,6.28132689928765
"1981Q4",1575117.29065021,39.7453467227785,6.67999461449428
"1982Q1",1581626.99386717,40.7290835604448,6.90537565610753
"1982Q2",1583754.31058438,41.6747831974933,7.02594638437749
"1982Q3",1575306.90975743,42.4781992681875,7.33991482962698
"1982Q4",1575982.73440662,43.293676331707,7.66555293739802
"1983Q1",1586475.85375885,44.1737424252909,7.94629933956005
"1983Q2",1596856.71466748,44.9354847112457,8.04903477112256
"1983Q3",1601005.30420208,45.6873702971692,8.21429427677644
"1983Q4",1618514.49182218,46.4755206851257,8.3959656929042
"1984Q1",1632419.99134135,47.308976460958,8.65111497429062
"1984Q2",1624706.04475367,47.9376138024105,8.77965736699977
"1984Q3",1641456.70237729,48.4246776757995,8.85577959233226
"1984Q4",1649856.99245879,49.0421484063598,8.96490339424638
"1985Q1",1653564.36227221,49.8629853574548,9.00356251070352
"1985Q2",1669342.49409256,50.5350717283056,9.02106117558664
"1985Q3",1683473.76338175,50.7883895694765,9.05433407968832
"1985Q4",1693510.41197316,51.2103713287146,9.0720110160371
"1986Q1",1687733.05617708,51.6157632639844,9.08158444134187
"1986Q2",1718678.14641334,51.8189580082095,9.1158005954496
"1986Q3",1727409.30577444,51.961722561768,9.11671227655027
"1986Q4",1731687.04637963,52.1427840219694,9.14895372341029
"1987Q1",1723376.21844849,52.6222865617748,9.17847983174256
"1987Q2",1752410.81294339,52.9768744751335,9.21101179506512
"1987Q3",1771230.09149606,53.2474829877554,9.17630580709228
"1987Q4",1793807.74731773,53.5217757558812,9.08929426956589
"1988Q1",1803713.17601529,53.8962741609892,9.0228554448752
"1988Q2",1820294.19456259,54.2858198123058,8.95909729481616
"1988Q3",1842840.42447082,54.7012975579811,8.86629544231223
"1988Q4",1859883.84115278,55.123778804616,8.7143763783386
"1989Q1",1881730.56651764,55.8310413506658,8.61272316186561
"1989Q2",1899619.39957935,56.4746512285305,8.49049908955136
"1989Q3",1910978.73138753,56.8692380064315,8.34721762885418
"1989Q4",1930892.06111882,57.387608803287,8.23962089536285
"1990Q1",1957069.55005135,58.1067580197784,8.10071533888275
"1990Q2",1966006.45943934,58.6058736351846,8.01666127132502
"1990Q3",1984240.19586687,59.1467298767786,7.95583944213137
"1990Q4",1995468.34203051,59.910068168804,7.94262847422971
"1991Q1",2009258.23123452,60.5235573850362,7.9322528273295
"1991Q2",2015226.49668899,61.1196538683821,7.99648244764203
"1991Q3",2014669.75303991,61.9015535732534,8.15407380428029
"1991Q4",2033829.28614414,62.399618272661,8.29140751813849
"1992Q1",2064531.02682753,63.0634354113294,8.39247320220587
"1992Q2",2048771.93976826,63.7053680917105,8.61663667446864
"1992Q3",2043034.78971724,64.0121414093659,8.9610474484708
"1992Q4",2038949.56662632,64.4398274040728,9.30011059433518
"1993Q1",2025057.10820035,65.2219677239209,9.94363623094205
"1993Q2",2026559.23230558,65.8156924659487,10.430951702104
"1993Q3",2034961.58149788,66.2418316707347,10.7907313747064
"1993Q4",2040290.29430137,66.5743904031608,11.1185623865711
"1994Q1",2059195.95015932,67.2142265229748,11.3045978427848
"1994Q2",2072021.1853234,67.6898856898183,11.3840926795083
"1994Q3",2085974.77780613,68.0678111074908,11.2636626701499
"1994Q4",2102525.48867945,68.3539662896493,11.2646880405765
"1995Q1",2113946.2,68.9463848645637,11.2155481507009
"1995Q2",2130683.6,69.5151725816832,11.1250071889202
"1995Q3",2136027.1,69.8012295629015,11.2537282657604
"1995Q4",2140677.3,70.0839602995146,11.3209228871857
"1996Q1",2144758.1,70.6693792368118,11.2823853006977
"1996Q2",2161539.8,71.2281882229638,11.3924927938299
"1996Q3",2171484.3,71.2980393461438,11.3749761780006
"1996Q4",2183411.7,71.5541601316118,11.3469057469718
"1997Q1",2189663.8,72.046444237765,11.3292925674319
"1997Q2",2216005,72.2859338030553,11.3645727793503
"1997Q3",2233334.4,72.5220971244524,11.2473528943699
"1997Q4",2256669,72.7482817141701,11.1682910468486
"1998Q1",2273134.1,72.9345513757462,11.0006483983379
"1998Q2",2281749.2,73.3569843594313,10.9050176211466
"1998Q3",2293797.7,73.4368142142908,10.7409757880096
"1998Q4",2300689.2,73.4268354826113,10.5904136711353
"1999Q1",2323540.5,73.5931476808284,10.3127216121516
"1999Q2",2334567.5,74.1020630071593,10.1870169132701
"1999Q3",2365099,74.3082901328062,10.0205283868001
"1999Q4",2389883.5,74.5810421377399,9.83557349501417
"2000Q1",2420743.8,75.07,9.56754172740817
"2000Q2",2442667.6,75.5566666666667,9.32641481732467
"2000Q3",2459096.6,75.99,9.1651636341563
"2000Q4",2470798.6,76.47,8.91403938820531
"2001Q1",2497986.7,76.69,8.69258362015985
"2001Q2",2499149.2,77.79,8.63300009675452
"2001Q3",2504513.3,77.84,8.63885932685882
"2001Q4",2503198.4,78.11,8.71974433024878
"2002Q1",2508915.1,78.6533333333333,8.74376527541546
"2002Q2",2520645.8,79.4333333333333,8.84218463924822
"2002Q3",2532296.9,79.48,8.99505654769914
"2002Q4",2537065.5,79.9066666666667,9.14805741409687
"2003Q1",2530307.4,80.4766666666667,9.28413198256254
"2003Q2",2531661.5,81.02,9.33674290453409
"2003Q3",2548175.1,81.1266666666667,9.36366519717099
"2003Q4",2564562.1,81.5833333333333,9.3914435642419
"2004Q1",2577897.9,81.88,9.54921659683562
"2004Q2",2594029.5,82.9033333333333,9.54372020281042
"2004Q3",2599983.4,82.99,9.52771115696233
